,Sex,Hometown,Bio_personality,food_drink,hob_inter,smoking,refer_roommate,Cleanliess,Privacy
1640,Nam,Bac Giang,hướng lung tung là một ambivert,mỳ xào cơm nhà đồ bún phở việt nam thích đồ ngọt,học nhóm online,"HIỀN HÒA , GỌN GÀNG",hích võ taekwondo mình còn có thể chơi cầu lông nữa bói tử vi mình rất thích nghệ thuật,3,2
1641,Nữ,Tay Ninh,nhạy cảm thích tự lập trầm tính,gà rán hay đồ chiên tôm chiên,học toán tiền,"Người hòa đồng, hoạt bát",chính trị lưới fb xem tin tức công nghệ,3,1
1642,Nam,Vinh Phuc,hướng nội ít nói nhưng hoà đồng thân thiện hướng nội với người ngoài,trà đào,choi game coi phim hoạt hình,Vui hoà dồng,đọc truyện tranh ngắm cảnh,8,9
1643,Nam,Binh Phuoc,đôi lúc hướng nội nhưng lúc high thì lại muốn nói rất nhiều,lẩu bò có ăn là được rau mùi hương (hành tỏi tiêu ớt sả đầy đủ) ... thật ra thì ngoại trừ rau cần,thường thức tác phẩm nghệ thuật chơi đánh cầu lông đi cắm trại tỉ tê những câu chuyện đời thường sâu sắc với mọi người xung quanh.,"Vui vẻ, hoà đồng, có tính tự giác, sạch sẽ, gọn gàng ",ko thích đọc truyện nhảy dây,1,1
1644,Nữ,Hau Giang ,là người ít nói chuyện đam mê học tập cá tính mạnh lắng nghe yêu thiên nhiên,kẹo dẻo,… esports,"hiền, lịch sự, sạch sẻ, vui tính.",lưới fb chơi hame bới lội,9,5
1645,Nữ,Quang Ninh,hòa đồnh hiền hoà hướng trung thích đông vui nửa hướng ngoại,... đặc biệt là chè,vẽ tranh,Người ngay thẳng,coi phim o buổi chiều sự logic,2,3
1646,Nữ,Hoa Binh,hướng ngoại 65% có phần hơi thích kiểm soát,không có cụ thể thích 1 món ăn hay đồ uống nào táo thích ăn những món ăn không quá đậm vị thích đồ chiên nước lọc,tập thể dục ngoài trời,"ngành kỹ thuật, hòa đồng",thích những gì cần tư duy logic tập trung nghiên cứu một vấn đề nào đó tỉ tê những câu chuyện đời thường sâu sắc với mọi người xung quanh. hích võ taekwondo thần số học,3,7
1647,Nữ,Yen Bai,ít nói chuyện ít nói nhưng hướng ngoại sạch sẽ nội tâm,thích ăn mì cay,các hoạt động phải chạy,"Sạch sẽ, yên tĩnh, không câu nệ tiểu tiết",mình thích đọc tiểu thuyết và truyện tranh chạy xe cũng không biết thích gì,1,7
1648,Nữ,Kon Tum,thích tận hưởng không gian 1 mình o tập thể ở nhà hướng nội ra đường hướng ngoại 🙄 dễ làm quen với bạn mới nhưng thường quen người hợp tính cách mới nói nhiều.,không có cụ thể thích 1 món ăn hay đồ uống nào món nào hợp khẩu vị thì mình ăn bánh mì kẹp cơm gà cà phê sữa...,chơi đàn piano game mobile thích chơi với chó mèo thích tiếng anh thích môn toán,"Hoạt bát, biết chia sẻ công việc trong phòng, sạch sẽ, tự giác",đi coi phim được ăn đi tập thể dục thích chơi với chó mèo …,2,1
1649,Nữ,Lam Dong,hay giận vu vơ hoà đồng nhưng cũng thích ở một mình ngăn nắp dù hay bày bừa (xong rồi dọn ngay) thích ở 1 mình,có ăn là được không có cụ thể thích 1 món ăn hay đồ uống nào,chơi hame thích động vật,"1 người vui tính, hoà đồng, có thói quen dọn dẹp ăn ở sạch sẽ, nhưng đừng quá ồn ào.",thích khám phá xung quanh thế giới,7,9
1650,Nữ,Ben Tre,yên tĩnh thích đi lang thang một mình 1 tháng chắc 1-2 lần) để giao lưu hướng nội nói nhiều,trà đào đặc biệt là mì cay ăn hải sản canh cải nước ép,chạy xe mình thích hát chính trị thích đọc sách đi phượt,"Vui vẻ , hòa đồng",vi vu dạo phố,6,5
1651,Nữ,Hung Yen,thích đi dây đó thích tụ tập bạn bè thân thiết ở nhà là một người ít nói hướng nội nhưng cũng có thẻ hướng ngoại parttime thích ở 1 mình,bánh mì kẹp,stress thì mình đâm đầu vô luôn thích môn toán,"vui tính, tích cực","đi mua sắm

không thích: chạy bộ mình thích chạy bộ ca hát đi xe đạp thư giãn",9,9
1652,Nữ,Ha Giang,1 tháng chắc 1-2 lần) để giao lưu mình không hẳn ít nói nhưng cũng ngại nói chuyện với người khác ít nói với người lạ người hướng nội cởi mở cũng có lúc hướng nội có lúc hướng ngoại,gà hấp nước mắm đồ ăn hàn. đồ uống healthy,thích khám phá xung quanh lưới fb hóng drama chính trị mình thích xem phim,"Bạn cùng phòng phải là người hiểu chuyện, lịch sự, sạch sẽ và chịu đi chơi với tôi",sở thích của mình là thay vì thoát khỏi áp lực ca hát đạp xe chụp ảnh,9,1
1653,Nam,Phu Tho,đôi khi ko thích chia sẻ nhiều lắm,mỳ xào,kĩ thuật,"Hào phóng, biết chia sẻ",ko thích bị ép buộc thử nhiều điều mới học shopping,1,9
1654,Nam,Bac Giang,hoạt bát hướng nội,gà rán hay đồ chiên đồ ăn mà dai dai kiểu như bánh bột lọc hay bánh canh í.,trống thích học ngôn ngữ anh cờ tướng,Thích 1 mình,gym học nhóm online thích ngồi lướt mạng xh cả ngày,1,7
1655,Nữ,Vinh Phuc,thích ở một mình. nói nhiều không thích nơi đông người,lẩu bò,anh văn dân chơi hệ điều hành (windows holywood ráp pc xem phim,"Người vui tính, có thể nói nhiều một chút, ở sạch, ăn xong nhớ dọn, tôn trọng riêng tư, nếu cùng ngành thì tốt, không cùng cũng không sao",trang điểm thích những gì cần tư duy logic lịch sử vẽ tranh,2,3
1656,Nam,Thai Binh,đam mê học tập cần cù thích tự do,ăn được đồ nặng mùi,đếm tiền kinh quẻ vẽ tranh thích chơi cầu lông,"sạch sẽ, hòa đồng",đếm tiền .. chơi yasua thích đồ ăn nhạt coi phim anime,2,2
1657,Nữ,Bac Kan,hòa đồng nửa nội nử ngoại cọc cằn,trừ đồ đắng ra thì mình đều ăn được hột vịt lộn rang me các loại lẩu,trang điểm mầy mò linh kiện máy tính xem anime hít thở không khí trong lành ở công viên thử nhiều điều mới,"Thích những bạn hoạt bát, vui vẻ và sạch sẽ",ngắm cảnh trồng cây nhiều lắm . chơi được đa nghề :) âm nhạc ngoại ngữ,9,7
1658,Nữ,Yen Bai,dễ tiếp xúc,thích ăn cá thác lác chiên bông lan trứng muối đồ cay hàn quốc hải sản,thế giới thích,khong co ,trồng cây bóng đá,7,3
1659,Nam,An Giang,là người hướng nội mình là người hướng nội thích ở 1 mình hoặc có không gian cá nhân kiểu người nhưng lại thích giao lưu =)),rau củ pizaa ...,chơi chơi hame thích ngủ thích khám phá xung quanh chơi vape,"Người vui tính,hoà đồng,sạch sẽ,thân thiện ",trống thích đọc truyện,8,4
1660,Nữ,Vung Tau,thích không gian riêng mình là một người hướng nội muốn một mình nhưng sợ cô đơn hướng nội với người ngoài,nước trái cây,đá bóng tám chuyện đá cầu ..,Ít nói,coi phim anime đánh cầu lông cầu long.,9,9
1661,Nữ,Vinh Long,thích ở nhà hơn là ở ngoài người suy nghĩ nhiều thích có ko gian riêng tư 1 mình vui nhộn không thích nơi đông người,thịt ... thật ra thì ngoại trừ rau cần bánh bông lan dâu cứ đồ ăn là thích bánh mì,đạp xe đạp code,"hài hước, hòa đồng",đông y coi phim,7,1
1662,Nữ,Ca Mau,thiên về cảm xúc nhiều hơn lí trí tôi là một người hoạt bát dễ tiếp xúc là một người hướng nội đúng ik chang mô tả mẫu :))),lẩu kim chi,chơi bóng rổ đọc sách thư giãn tò mò về cách vận hành của xã hội cầu lông,"Một người hiểu biết rộng , biết cách giúp đỡ trong những hoàn cảnh éo le( không nhất thiết cùng quê )",thường hay quan tâm những tin tức về nó,2,1
1663,Nữ,Kon Tum,thích đi chơi ở ngoài với bạn bè,đồ ăn chay,tắm (2l/ngày) thích đi du lịch chụp ảnh,"Thân thiện, hoà đồng, chăm chỉ, siêng năng, ăn ở sạch sẽ, gọn gàng.",xem phim thích chơi bóng rổ ca hát tháo,8,6
1664,Nữ,Quang Nam,sợ xã hội,mì tương đen mì udon lẩu gà pizza,esports phong thủy,"Biết lắng nghe, giữ vệ sinh",nhạc cụ đọc truyện tranh tấu hài,6,2
1665,Nam,Thanh Hoa,thích tự lập không phải hướng nội nhưng không thích chỗ đông người hiền hoà một người hoà đồng thích thích đi chơi đây đó nhưng cũng hơi trầm tính khi ở với người lạ,ăn haidilao em thích các loại bún ạ,kĩ thuật,"Sạch sẽ, dễ nói chuyện",đàn xem tv series ăn chiêm tinh học,2,2
1666,Nữ,Nam Dinh ,không thích sự ồn ào nóng nảy - ưu tư,không quá kén chọn thích ăn mì cay,hội hoạ chơi nhảy dây,"vui tính, tích cực",chính trị chụp ảnh đông y,1,4
1667,Nữ,Bac Lieu,thích đi chơi cùng những người bạn thân thiết nhưng lại thích giao lưu =)),mùi hương (hành tỏi tiêu ớt sả đầy đủ) cái gì cũng thích ăn,đi xe đạp giải đố ăn chạy xe,Sạch gọn và rõ ràng,tiêu tiền.,5,2
1668,Nữ,Gia Lai,làm quen nhiều bạn mới thân thiện hướng nội một người hoà đồng thích nội tâm,"matcha đá xay mình thích ăn các loại đồ ngọt gà hấp nước mắm uống trà sữa redbull
không thích cafe gói",chơi nhạc nghe nhạc xem phim đi lượn đường vẽ,"Người hòa đồng, hoạt bát",tiêu tiền. phim hoạt hình đọc sách,5,7
1669,Nữ,Quang Binh,linh hoạt hướng ngoại nói nhiều với người quen cũng hơi hướng ngoại hướng nội nhưng thích đi chơi,trà đào thạch sữa fanta vị nho : d củ,khám phá xung quanh badminton game,"vui tính, tích cực",thiết kế hát tiếng anh,3,1
1670,Nam,Lao Cai,là người ít nói hướng ngoại thích chia sẻ tuy nhiên hơi khó ngủ thích tụ tập bạn bè thân thiết ở nhà hoà đồng nhưng cũng thích ở một mình có quy tắc riêng,0 độ,nhảy dây cờ vua lịch sử ngoại ngữ dọn dẹp,Hoạt bát vui tính,tấu hài hacking choi game ngoại ngữ,7,3
1671,Nữ,Quang Binh,hướng nội - ngoại hướng ngoại thích giao tiếp vui vẻ hoà đồng thích vui,mì nước lọc mỳ cay,tập thể dục bơi lội. tỉ tê những câu chuyện đời thường sâu sắc với mọi người xung quanh. phim hoạt hình đi tập thể dục,"BIẾT ĐIỀU, biết cư xử
NÓI ÍT THÔI
ở sạch sẽ
chia việc nhà
có thể tin tưởng được (tiền bạc)
ngủ đừng ngáy
trình độ xấp xỉ như mình chứ đừng zốt quá nó ô dề lắm :b",online shopping,3,9
1672,Nam,Bac Kan,có thể đi ăn ngoài nếu được mời là người 50% hướng nội mình khá ít nói cũng như là hướng nội,thích ăn đồ việt nam đặc biệt là mì cay cơm trộn,đọc manga xem anime xem phim âu action nghe nhạc chơi hame giải đố đồ ăn ngọt,"gọn gàng sạch sẽ, dễ ăn uống, không quá kĩ tính, hòa đồng, không tệ nạn, biết lắng nghe/ tôn trọng lẫn nhau, ngành gì cũng được (khác ngành thì dễ nhờ hơn :>), v.v",mình thích chạy bộ đàn,5,2
1673,Nữ,Tay Ninh,trải nghiệm là một người thiếu ngủ thích có ko gian riêng tư 1 mình nhưng ít nói extrovert,bánh căn gà rán bánh bèo các loại bún coca,badminton đi chơi truyện thích hát,"Vui vẻ, hòa đồng, biết nhậu",coi anime ở nhà một mình thích ngủ,9,7
1674,Nữ,Binh Duong,thích tự lập độc lập một người hướng ngoại làm biếng,đồ thái lẩu chay mì udon sữa tươi trân châu đường đen lẩu cá đuối,đi phượt học ngoại ngữ làm mô hình thích chơi game sở thích của mình là thay vì thoát khỏi áp lực,"Hòa đồng, sạch sẽ ",nghe nhạc xem phim đi lượn đường,9,4
1675,Nam,Hai Duong,thích đi chơi với bạn bè xàm,cơm đậu hũ dồn thịt xốt cà lẩu kim chi bánh xèo nước ép trái cây,travelling thích động vật,Thích 1 mình,được ăn nấu ăn học toán toán sở thích của mình là thay vì thoát khỏi áp lực,8,1
1676,Nữ,Tuyen Quang,hiếm khi thấy vui,xúc xích,chiêm tinh học,Khắc kỷ,ngủ coi phim ăn xe cộ thích môn toán vận động thể lực (nhẹ) vẽ,5,5
1677,Nam,Ninh Thuan,người đang học trường fpt tích cực hướng nội,bia đồ ăn nhà nấu mình rất thích ăn đồ ăn cay,ngủ:)) chiêm tinh tiền o buổi tối bóng bàn,"Vui vẻ, đồng cảm",chăn nuôi ngủ đi coi phim esport vận động thể lực (nhẹ),9,2
1678,Nam,Gia Lai,hay dài dòng hướng nội với người ngoài trầm tính thường thích ở một mình,bún đậu,tìm hiểu về văn hóa các nơi,"Vui vẻ ,hoà đồng ",mình rất thích nghệ thuật học hóa tham gia hoạt động ngoại khoá thích xem phim,6,5
1679,Nam,Quang Binh,lắng nghe thích ở một mình.,các loại lẩu bánh mì kẹp bún nước lèo món ăn health,nhạc cụ học công nghệ,Người ngay thẳng,đọc tiểu thuyết ….,4,5
1680,Nam,An Giang,quan tâm người khác lowkey hướng nội part time có quy tắc riêng là một người ít nói hướng nội nhưng cũng có thẻ hướng ngoại parttime,đồ ăn: các món nước (bún thích đồ ăn có trứng muối kẹo dẻo,đi chơi cùng bạn bè người thân đi xe đạp ko thích bị ép buộc trồng cây,"Hòa đồng, sạch sẽ, không soi mói",viết lách android mua sắm đếm tiền,5,6
1681,Nữ,Cao Bang,khá hòa đồng dễ bắt chuyện chia sẽ hướng nội - ngoại có xu hướng ambivert,bò kho coffee chill không rõ chiên,học ngoại ngứ học công nghệ nghệ thuật,"vui vẻ, hòa đồng",chạy xe,6,7
1682,Nam,Bac Lieu,thích đi chơi đây đó nhưng cũng hơi trầm tính khi ở với người lạ riêng tư thích làm việc cởi mở í nói hướng nội,đồ bình dân hoi.,tiếng anh,"Vui tính, nói nhiều, gọn ràng sạch sẽ, hoạt bát",lịch sử trống tâm lí học,7,5
1683,Nữ,Bac Lieu,là người ít nói hướng nội về đêm. có thể chia sẻ giúp mn vượt qua sự tiêu cực nhưng bản thân mình thì không khá vui vẻ,phở); thức uống: nước có ga cũm được,pokemon,"Vui tính, hòa đồng",thế giới đi chơi thể thao chơi cờ vua,9,4
1684,Nữ,Thanh Hoa,tình cảm thích nghệ thuật,sushi,em thích chơi nhạc cụ ngủ coi phim ăn,"Sạch sẽ, có trách nhiệm, thân thiện",chơi thể thao thường thức tác phẩm nghệ thuật đánh cầu lông mình rất thích nghệ thuật,1,8
1685,Nữ,Quang Tri,o tập thể không thích nơi đông người mình là người ngại bộc lộ tâm tư tình cảm cá nhân với người khác.,bún bò phở hu tiu com tam ăn được uống được,xem mv ca nhạc vân vân...,"sạch sẽ, vui vẻ",làm mô hình phim truyền hình bơi lội. o buổi chiều,7,9
1686,Nữ,Ben Tre,nói rất nhiều ngại bộc lộ tâm tư tình cảm cá nhân với người khác.,nem nướng nha trang thích đồ ngọt moutain dew,tìm hiểu về văn hóa các nơi,Vui tính náo nhiệt thích đi chơi,...,1,2
1687,Nữ,Kien Giang,hướng ngoại nhung thích ở một mình thích vui chơi một người hướng nội thích sự im lặng lúc này lúc kia dễ thương,thịt thích đồ tự nấu chất béo hay phô mai. không ăn được cua :3 ham bơ gơ bánh khọt,trống,"BIẾT ĐIỀU, biết cư xử
NÓI ÍT THÔI
ở sạch sẽ
chia việc nhà
có thể tin tưởng được (tiền bạc)
ngủ đừng ngáy
trình độ xấp xỉ như mình chứ đừng zốt quá nó ô dề lắm :b",pha chế tò mò về cách vận hành của xã hội phụ kiện công nghệ,6,6
1688,Nữ,Binh Duong,hướng ngoại nhưng có xu hướng thích ở một mình (hoặc thêm người nhưng được yên tĩnh) mình là người không thích nơi đông người hướng ngoài. thích một mình nhưng lại sợ cô đơn,chanh muối matcha đá xay,thử nhiều điều mới coi phim nghiên cứu về tài chính học tiếng nhật đi xe đạp,vui vẻ hòa đồng,đi chơi cùng bạn bè người thân kiếm tiền ráp pc ngắm cảnh,2,1
1689,Nam,Thai Binh,thích cứ gái ambivert làm quen nhiều bạn mới nhưng vẫn hoà đồng thích thử thách,nem nướng đồ cay cơm tấm 0 độ các loại trà trái cây,hát,Vui vẻ,ăn xem anime vệ sinh máy tính,9,2
1690,Nam,Phu Yen,"độc lập ở một mình một người hướng nội mình là ambivert
có tính cách khá là khùng khùng điên điên nhưng cũng hay nhiều tâm sự",gà hấp nước mắm suit my taste is fine,xem phim nghe nhạc thích đọc truyện,Người ít nói,hóng drama …. đi chơi ngoài trời bóng đá làm mô hình,5,2
1691,Nữ,Quang Tri,thích ở một mình sạch sẽ tình cảm,bánh chocopie,hích võ taekwondo nghệ thuật thích chơi game offline đi du lịch chơi cầu lông,Vui hoà dồng,thích tranh biện,6,4
1692,Nữ,Soc Trang,hiền hoà hương ngoại nhưng khó kết bạn với hơi trầm ko thích đi chơi thích đông vui hướng nọpi,đồ ăn hàn. đồ uống healthy bò né cà phê sữa sữa bắp,xem bóng đá uống cà phê lập trình ko thích gì hết,Chung ngành sạch sẽ và dễ tính,phong thủy,4,2
1693,Nữ,Thanh Hoa,nhưng không phải e sợ đám đông ít nói nhiều ít nói là người thích ở một mình,mì xào cơm chiên trứng fanta vị nho : d mì ý trà sữa,kinh quẻ các chương trình giải trí,"Vui tính, chăm chỉ",code,1,5
1694,Nam,Son La,có lòng tự trọng là một người ít nói hướng trung (ambivert) lúc thích một mình,đồ ngọt coca cola…,đàn thích đi chơi với bạn bè thể thao,"Người hài hước, năng động và thích nói thật",kpop,4,4
1695,Nữ,Tra Vinh,không thích nơi đông người thích làm việc,sprite,ngắm cảnh ios travelling chơi cầu lông,Ai kiềm t việc t chơi ngu và ai đó chịu chơi ngu với t,online shopping tám chuyện hích võ taekwondo xem tin tức công nghệ nhảy dây,5,4
1696,Nữ,Phu Yen,dễ thích nghi,lẩu chay,thích nhảy mình thích hát tham gia hoạt động ngoại khoá tìm hiểu về văn hóa các nơi chơi cầu lông,Học giỏi,trò chơi điện tử,4,3
1697,Nam,Bac Lieu,tôi thích nói chuyện với mọi người nhưng đồng thời tôi cũng có những lúc thích một mình một người hướng nội nhưng cũng thích xã giao với mọi người,gà phô mai mình thích ăn tất cả những gì mình thấy ngon. riêng đồ uống thì mình có niềm đam mê sâu sắc với rau má trứng ốp la,game mobile chơi nhạc tâm lí học thích chơi game offline,"sạch sẽ, ồn ào đúng lúc đúng chỗ",đi du lịch tỉ tê những câu chuyện đời thường sâu sắc với mọi người xung quanh. tò mò về cách vận hành của xã hội tập trung nghiên cứu một vấn đề nào đó,5,9
1698,Nam,Nghe An,hay ngại dành thời gian cho bản thân nhiều hơn. nhưng vẫn tham gia clb cũng như đi chơi với bạn bè (nhưng ít,miến trộn eat-clean đồ bún phở việt nam bánh chuối chiên,thể thao phụ kiện công nghệ đánh bóng bàn trí tuệ như nhau nên điều đó cũng là một sự thú bị,Hòa đồng,holywood mình rất thích nghệ thuật,2,8
1699,Nam,Tien Giang,hướng ngoại,chè bưởi thích ăn,toán chăn nuôi,"vui tính,  hòa đồng , dễ bắt chuyện ",bóng đá,1,5
1700,Nữ,Quang Tri,hướng nội part time .. thường là hướng ngoại với ng quen nhma hướng nội với người lạ thân thiện sạch sẽ ngại bộc lộ tâm tư tình cảm cá nhân với người khác.,mỳ quảng,truyện thư giãn,Chung ngành sạch sẽ và dễ tính,đánh võ,6,5
1701,Nữ,Phu Yen,sáng nắng chiều mưa lúc hướng ngoại hoà đồng nhưng cũng thích ở một mình có thể đi ăn ngoài nếu được mời,món nào mình thấy hợp thì đều thích ăn suit my taste is fine,decor phòng đọc sách thích đánh cờ,Vui vẻ,đếm tiền tấu hài,3,7
1702,Nữ,Son La,lúc nói nhiều lúc nói ít một người hướng ngoại làm biếng thích ở một mình với gia đình,rau củ mắm chưng,dọn dẹp hacking,Vui tính và sạch sẽ ,đu otp thích động vật thích chill thể thao,3,6
1703,Nam,Ninh Binh,không thích cảm giác 1 mình lắm nhưng đi với nhiều người thì không biết phải nói gì hướng nội trầm tính,món nào hợp khẩu vị thì mình ăn khoai tây sữa chua mít,vi vu dạo phố,thằng bạn thích hút thuốc,xem phim đặc biệt là thích nhạc của sơn tùng m-tp học tiếng anh đá bóng đánh bóng bàn,8,1
1704,Nam,Bac Lieu,ưa mạo hiểm sống lowkey giống ví dụ là một người nội,chiên sữa chua mít mì quảng,tò mò về cách vận hành của xã hội,khong co ,làm gốm,1,4
1705,Nam,Phu Yen,thích coi phim người hướng nội lowkey thích thử thách tùy lúc,thích ăn món mì cay ăn đồ cay mình thích ăn các loại đồ ngọt,phá máy tính bóng chuyền,"Người sống có quy củ, dễ thương, đừng ham chơi 🤡 vì mình sẽ chơi cùng, siêng năng ",hacking o buổi sáng,6,9
1706,Nam,Khanh Hoa,nửa nội nử ngoại thích đi đây đi đó trải nghiệm những thứ mới mẻ nhưng tùy hứng,mắm chưng mỳ quảng cá hồi sandwich bún mắm,"thích đọc truyện thích:
1. thiên nhiên cây cỏ
2. bóng bàn thích chơi game offline thích học thích code học ngoại ngứ","Hoạt bát, hoà đồng",toán học đi du lịch cafe,4,4
1707,Nữ,Bac Ninh,là người hướng nội hiền hoà hướng ngoại 65%,nướng món j có topping thì đều thích cơm chiên trứng món nào mình thấy hợp thì đều thích ăn,badminton,thằng bạn thích hút thuốc,vẽ nhảy ios thể dục lập trình,1,9
1708,Nam,Binh Phuoc,là một người ít nói,nước ngọt miễn là nước ngọt có ga nem nướng nha trang paparoti,xe cộ bơi lội. tắm (2l/ngày) dân chơi hệ điều hành (windows,"Cùng ngành, sạch sẽ, hoà đồng",thích,9,6
1709,Nam,Kon Tum,mình khá ít nói cũng như là hướng nội,trừ đồ quá ngọt quá mặn thì cái gì cũng có thể ăn cá viên chiên mắm tỏi thích đồ ngọt vị đậm đà😋,xem phim nghe nhạc đi tản bộ đếm tiền game cầu lông,vui tính hòa đồng,cà phê thích đồ ăn nhạt đọc truyện viết code,4,8
1710,Nam,Ha Tinh,chỉ thích ngủ một mình hướng ngoại thân thiện vui vẻ thích được đi chơi vui vẻ…,bún ốc ức gà sữa tươi trân châu đường đen mì,nhảy dây tụ tập với bạn bè,Vui vẻ thoải mái,thần số học trang trí phòng ngủ mình thích đọc tiểu thuyết và truyện tranh học tiếng nhật ….,5,5
1711,Nữ,Thanh Hoa,hướng nội ít nói thik ở một mình người thân,thức ăn có vị cay,đi chơi ngoài trời thường thức tác phẩm nghệ thuật văn học học toán hích võ taekwondo,"Sạch sẽ, hoà đồng",tỉ tê những câu chuyện đời thường sâu sắc với mọi người xung quanh. tin khoa học chơi đàn nhiều lắm . chơi được đa nghề :) đạp xe,8,3
1712,Nữ,Yen Bai,....,thích ăn mì cay thịt bò,đi xe đạp game choi game xem phim,"vui tính, hòa đồng, sạch sẽ, gọn gàng",...) em thích chơi nhạc cụ,5,9
1713,Nam,Ninh Thuan,vui tính ít nói nhiều thích một mình,bánh kẹp thịt sinh tố bơ,pha chế phim hoạt hình online shopping,"vui tính, tích cực",bóng đá thích tranh biện travelling đánh bóng bàn,4,8
1714,Nữ,Tra Vinh,khó chịu,bún đồ ăn hàn. đồ uống healthy bánh trà chanh thích uống trà sữa ạ :v,mình thích đọc tiểu thuyết và truyện tranh đếm tiền shopping chơi game o buổi chiều,"Mình thích người cùng phòng vui tính, hiền lành","tò mò về cách vận hành của xã hội thích:
1. thiên nhiên cây cỏ
2. bóng bàn coi anime",7,3
1715,Nam,Phu Tho,trải nghiệm thích vui hướng nội trầm tính thích đi các hoạt động xã hội hơi hướng nội,bún trộn bánh ngọt chill nướng sinh tố bơ,hacking đá bóng cầu long.,Muốn có bạn gái,shopping thích vẽ,4,7
1716,Nam,Bac Kan,nhưng hướng nội với người lạ có trách nhiệm hướng nội thích ở 1 mình hoà đồng nhưng cũng thích ở một mình,bò kho,học ngoại ngứ đọc truyện tranh,"Sạch sẽ gọn gàng, nhiệt tình, hoà đồng với mọi người, có trách nhiệm và biết điều",mình còn có thể chơi cầu lông nữa game mầy mò linh kiện máy tính chiêm tinh học thích đọc truyện,6,3
1717,Nữ,Vinh Long,hướng nội nhưng thích đi chơi ở giữa hướng nội nhát bắt chuyện với người lạ,chỉ thích cafe phin nhật,thích học thích code o buổi chiều chơi yasua đọc sách,Tự giác,thích khám phá xung quanh nghiên cứu về tài chính xem youtube ngủ nghỉ ngơi mình thích ngôn ngữ,9,4
1718,Nữ,Tay Ninh,dễ thích nghi,các món ăn có nước thịt kho mắm ruốc bánh mì kẹp các loại cơm chiên trứng,âm nhạc ( nghe nhạc) bơi lội thích đi chơi với bạn bè,Ai kiềm t việc t chơi ngu và ai đó chịu chơi ngu với t,uống cà phê,4,8
1719,Nữ,Lao Cai,hướng nội với người ngoài sạch sẽ hướng nội thích ở 1 mình hướng ngoại nhưng có xu hướng thích ở một mình (hoặc thêm người nhưng được yên tĩnh),các đồ ăn hỗ trợ cho việc giảm cân món ăn health bông lan trứng muối,đánh cầu lông,"Mình thích bạn cùng phòng hoà đồng, sạch sẽ một chút, tiết kiệm một chút, sòng phẳng tiền bạc.",mình thích hát,1,2
1720,Nam,Ha Giang,hướng ngoại thích giao tiếp vui vẻ hoà đồng nhưng không phải e sợ đám đông một người vui vẻ,"bánh cuốn redbull
không thích cafe gói hủ tiếu ít đường",tám chuyện chơi cờ vua coi phim travelling chơi nhạc,"Cùng ngành, hoặc cùng trường, sinh hoạt cú đêm giống mình hihi",bơi lội.,7,3
1721,Nam,Dong Nai,yên tĩnh,cũng không biết nữa 😂 cái gì cũng thích ăn trứng ốp la,kpop,"sạch sẽ, ồn ào đúng lúc đúng chỗ",game kpop học công nghệ thích chơi cầu lông,4,8
1722,Nam,Vinh Phuc,nhưng lúc high thì lại muốn nói rất nhiều nhanh nhẹn hướng trung (ambivert) lúc thích một mình trải nghiệm thích tham gia các hoạt động xã hội,nước rau má canh kim chi bia,bị người ta lùa gà,Xinh đẹp,chơi thể thao thiên văn học dark fantasy manga,7,8
1723,Nam,Quang Tri,thường thích ở một mình,trái cây cơm gà táo,... xem các show giải trí thực tế anh văn bóng đá,Đẹp,học ngoại ngữ thích đi du lịch bóng chuyền thích chơi với chó mèo mac os,3,3
1724,Nam,Ha Nam,hướng nội ít nói nhưng hoà đồng thân thiện hướng nội tích cực hướng nội nữa mùa tùy lúc là người 50% hướng nội,thích ăn gà snack khoai tây nước lọc cháo gà socola,ở nhà một mình xem tv series đi du lịch thích hút thuốc,"Vui tính, dễ chịu ",trồng cây thích đồ ăn nhạt em thích chơi nhạc cụ edit yoga,5,5
1725,Nam,Hoa Binh,là một người hướng nội nói rất nhiều khác trầm quan tâm người khác mê chơi đá gà,thích uống trà sữa,ko thích bị ép buộc thần số học …,"Vui tính, hoà đồng, ở sạch sẽ",xem mv ca nhạc game online hacking lưới fb,5,4
1726,Nam,Soc Trang,náo động vùng trời :) hướng ngoại 65% đôi khi hướng ngoại thích 1 mình,mình thích trà bí đao ngô gia,vi vu dạo phố,"Vui vẻ , hòa đồng",vận động thể lực (nhẹ),5,8
1727,Nữ,Phu Tho,nói nhiều với người quen lúc hướng ngoại thích đi chơi cùng những người bạn thân thiết nóng nảy - ưu tư nhộn nhịp,kfc các món gỏi,xem anime mình thích đọc tiểu thuyết và truyện tranh vẽ...,"Tâm lý, tinh tế, hiểu chuyện.",thần số học coi anime pokemon,4,2
1728,Nam,Ha Giang,hướng nội + ngoại part time là một người thiếu ngủ thích yên tĩnh độc lập,đồ nhướng tôm,hóng drama bóng bàn,"Sống thoáng, thoải mái, giao tiếp khéo léo không quá thô thiển, gọn gàng sạch sẽ. Rạch ròi về tiền bạc",quay tik tok vẽ tranh mình thích xem phim,8,3
