,Name,Sex,Hometown,Bio_personality,food_drink,hob_inter,smoking,refer_roommate,Cleanliess,Privacy
7507,7507,Nam,Dong Nai,dễ hòa nhập mình là một người thích vẽ năng động thích được đi chơi hướng trung,ăn đồ ngọt uống nước ngọt đồ gì có vị cay thích đồ chiên không độ) ăn đồ ăn nhanh, thích đá banh sự logic bóng đá,không,vui vẻ dễ tính sạch sẽ,9,8
7508,7508,Nam,Quang Nam,thích ở một mình nhưng vẫn hoà đồng giao tiếp tốt với mọi người,thịt sườn nem nướng beer e thik ăn các loại bánh mỳ mùi hương (hành tỏi tiêu ớt sả đầy đủ),tập thể dục ngoài trời thích đá bóng nghe nhạc,không,chịu đi chơi với tôi chịu khó dọn dẹp người chịu chia sẻ cảm xúc của bản thân.,7,8
7509,7509,Nam,Binh Phuoc,nóng nảy - ưu tư ngăn nắp dù hay bày bừa (xong rồi dọn ngay) thích đi chơi với bạn bè,trứng ốp la ăn đồ tự nấu bánh xèo xôi uống rượu,chơi bóng rổ decor phòng anh văn thích đi chơi với bạn bè,không,bất kỳ ngành nào cũng được có thể là người học mỹ thuật hay kinh tế,10,10
7510,7510,Nữ,Ha Giang,hoà đồng vui vẻ thích tìm hiểu yêu thiên nhiên hướng ngoại thích giao tiếp vui vẻ hoà đồng,trà olong,đi chơi choi game xem phim nghe nhạc bơi lội,không,phát triển bản thân không quá kĩ tính trung thực,5,8
7511,7511,Nữ,Ninh Thuan,là người hướng lung tung là một người nội,gà rán đặc biệt là tôm,lưới fb tìm hiểu những kiến thức đa ngành nhiều lắm . chơi được đa nghề :),không,có thể nói nhiều một chút ham học chung gu giải trí tốt bụng bạn cùng phòng phải là người hiểu chuyện,7,9
7512,7512,Nữ,Hai Duong,tìm người người làm đồ án tốt nghiệp chung. mình không hẳn ít nói nhưng cũng ngại nói chuyện với người khác,thích ăn mì tômmmmm,mình còn có thể chơi cầu lông nữa đi dạo ngắm cây làm gốm thể dục thích tranh biện,không,có chừng mực - vui vẻ không tự tiện biết làm việc nhà giống mẹ thì càng tốt có tính tự giác,8,10
7513,7513,Nữ,Long An,1 tháng chắc 1-2 lần) để giao lưu .... hướng nội trầm tính,kẹo dẻo bị dị ứng hải sản có vỏ bánh . nước coca . mì cay... các món nướng,online shopping bị người ta lùa gà,không,biết chia sẻ thích các hoạt động nhóm hoà hợp giàu có,8,9
7514,7514,Nữ,Khanh Hoa,thường thích ở một mình hơi hướng nội hướng ngoại ít nói thích ở một mình cống hiến hết mình dễ chịu,bún thịt nướng sushi không quá kén chọn,nhạc cụ tiêu tiền. decor phòng .. viết lách,không,ý thức,9,9
7515,7515,Nữ,Ha Tinh,thích đi lang thang một mình trầm tính. e là một người khá tự ti ở một mình,thích hamburger món nào chay đều thích gà đặt biệt là trà sữa,thích môn toán du lịch các hoạt động xã hội phim hoạt hình,Có,không ồn ào cởi mở,7,9
7516,7516,Nữ,Hung Yen,cọc cằn hay giận vu vơ phần hướng nội nhiều hơn,những món có vị chua đồ ăn healthy mì ý sữa chua,sự logic thích bơi,không,bất kỳ ngành nào cũng được không care lắm rõ ràng đàng hoàng là được,8,7
7517,7517,Nam,Quang Tri,indoor type,cơm trộn cơm chiên các loại các loại lẩu mình rất thích ăn đồ ăn cay mình thích uống trà sữa,ngắm cảnh thích đi chơi với bạn bè,không,phải sạch sẽ chùi dọn phòng ở sạch sẽ im lặng dễ nói chuyện,7,3
7518,7518,Nam,Ha Giang,ngăn nắp dù hay bày bừa (xong rồi dọn ngay) là một người ít nói hoà đồng dễ bị lung lay bởi cảm xúc người hướng ngoại,bánh chuối chiên come gà nước ngọt miễn là nước ngọt có ga nước dưa hấu ép,thích đồ ăn nhạt pokemon đá bóng,không,biết nhậu vui tính hài hước không nói xấu sau lưng cùng nhau đi chill,10,9
7519,7519,Nam,Nghe An,dễ hòa nhập,món nào chay đều thích ức gà xôi các món ăn truyền thống hoặc món ăn đường phố việt nam,học ngoại ngữ  đi phượt thích,không,hòa đồng dễ chịu chia sẽ biết chia sẻ công việc trong phòng luôn ham học hỏi hoà đồng,9,7
7520,7520,Nam,Hoa Binh,lúc này lúc kia hay giận vu vơ thích tìm hiểu những điều bí ẩn,đặc biệt là tôm sushi chỉ cần không cay là được moutain dew drink: (ưu tiên) nước lọc,… thích học bài,không,ở sạch đồ mình sở hữu là được vì mình cũng như vậy. ở sạch sẽ cẩn thận hiểu lễ phép,8,10
7521,7521,Nam,Kien Giang,bạn bè. là người ít nói chuyện hướng ngoài. tùy lúc,hamburger các đồ ăn hỗ trợ cho việc giảm cân bún chả nướng red bull canh kim chi,hội hoạ,không,ý kiến của mình lên bạn cùng phòng nhưng đừng quá ồn ào.,10,6
7522,7522,Nữ,Hoa Binh,ngoại là người 50% hướng nội không thích sự ồn ào nóng nảy - ưu tư,ăn được đồ nặng mùi nước c2 chanh paparoti trà sữaaaaa nước rau má,đi dạo ngắm cây nấu ăn ios bóng đá thiện nguyện,không,vui hoạt bát thân thiên vui vẻ thích công nghệ mình thích người cùng phòng vui tính,8,7
7523,7523,Nữ,Thanh Hoa,có xu hướng ambivert cũng có lúc hướng nội có lúc hướng ngoại sạch sẽ khá hòa đồng dễ bắt chuyện,kẹo thích ăn mì cay cà phê sữa,ko thích gì hết đàn chơi nhạc,không,tâm lý =))) ý kiến của mình lên bạn cùng phòng giao tiếp khéo léo không quá thô thiển có thể là người học mỹ thuật hay kinh tế ...,9,10
7524,7524,Nam,Ha Giang,nghiêng về hướng ngoại thích đi các hoạt động xã hội,nước ngọt miễn là nước ngọt có ga đùi gà ăn được đồ nặng mùi,thích nhảy lắp ráp,không,tôn trọng riêng tư bình đẳng tự giác thích ăn ngoài cùng mình,5,3
7525,7525,Nữ,Quang Tri,hướng nội part time .. thường là hướng ngoại với ng quen nhma hướng nội với người lạ nội tâm thích đi chơi cùng những người bạn thân thiết,hủ tiếu ….,đi du lịch,không,sống thoáng biết chia sẻ chia việc nhà thì phải lm ko so đo luôn ham học hỏi,10,10
7526,7526,Nam,Hai Duong,ghét phiền phức là một người hướng nội thích ở một mình tích cực,vị đậm đà😋 cái gì cũng thích ăn,bị người ta lùa gà,không,cùng tần số với mình :)))). thật thà chủ động tính giống mình biết nghĩ gọn ràng sạch sẽ,7,8
7527,7527,Nữ,Bac Lieu,một người ít nói hướng nội dễ thích ứng tốt bụng,fanta phở bò uống rượu cơm chiên fastfood,đọc truyện,không,nhiều chuyện,9,8
7528,7528,Nữ,Binh Thuan,xàm,các món gỏi chocolate bún riêu,coi phim hoạt hình,không,ăn ở sạch sẽ vui tính thân thiện tính khôn lỏi,8,9
7529,7529,Nữ,Hai Duong,hướng ngoại vui vẻ hòa đồng khó giao tiếp hướng nội với người ngoài,đi ăn với bạn sữa bắp,nằm dài nghe nhạc ngủ,không,dễ chịu suy đoán tích cực,7,9
7530,7530,Nữ,Bac Ninh,hướng nội + ngoại part time,"redbull
không thích cafe gói nước ép.",trí tuệ như nhau nên điều đó cũng là một sự thú bị ... chơi vape đi dạo ngắm cây,Có,ăn ở sạch sẽ,9,9
7531,7531,Nam,Ha Giang,cực đoan hơi ngại giao tiếp nhưng sẵn sàng học hỏi thích một mình nhưng lại sợ cô đơn thích đi đây đi đó trải nghiệm những thứ mới mẻ nhưng tùy hứng thích đi chơi ở ngoài với bạn bè,món j có topping thì đều thích nước c2 chanh phở xào,thiết kế thích đá banh đánh võ,không,có qua có lại im lặng,8,10
7532,7532,Nam,Lao Cai,hướng ngoại khi cần thiết,cơm tấm sườn bì chả buger đồ gì có vị cay nước ngọt,bới lội call điện thoại thích vẽ,không,chung ngành sạch sẽ người hiểu chuyện ko thích share phòng đi chơi bên ngoài. vui tính,9,10
7533,7533,Nữ,Ca Mau,nhạy cảm,hủ tiếu cơm chiên cá viên chiên mắm tỏi,hóng drama,không,trầm tính học giỏi hoạt bát,10,8
7534,7534,Nam,Ninh Thuan,vui vẻ hoạt bát năng động nhưng hơi hướng nội trung lập thích kết bạn là một người hướng nội thích ở một mình,hủ tiếu trừ những món liên quan tới cá ; các dòng nước ngọt đều thích,hóng drama cà phê,không,không có ạ,10,7
7535,7535,Nữ,Hung Yen,mình là một người hướng nội em thích ở tập thể nhưng có không gian riêng. em hướng nội hướng ngoại part time hướng lung tung là người hướng nội part time,nước dưa hấu ép suit my taste is fine nước trà (như c2,vi vu dạo phố choi game lướt mxh học nhóm online,không,đừng quá bừa bộn vd : vui vẻ dễ bắt chuyện vui hoà dồng,8,7
7536,7536,Nam,Kon Tum,ưa mạo hiểm một người hoà đồng thích cũng hơi hướng ngoại nhanh nhẹn thích tụ tập bạn bè thân thiết ở nhà,nước cam thịt kho tàu,truyện cờ tướng holywood xem tin tức công nghệ,không,đừng ở dơ,8,9
7537,7537,Nữ,Binh Thuan,hướng ngoại thích giao tiếp vui vẻ hoà đồng bạn bè. hướng ngoại full time thích đám đông thích đi ra quán cafe để học bài,"đặt biệt là trà sữa 1. tofu
2. bánh mì ( thích mọi loại bánh mì)
3. nước ép bánh canh pepsi",học hóa đạp xe thích ngồi lướt mạng xh cả ngày câu cá đá bóng,Có,không quá nóng tính thích nấu ăn k ồn sau 11h,9,7
7538,7538,Nam,Thanh Hoa,thích đi dây đó khác trầm không thích ồn ào,bia hũ tiếu,kinh quẻ dân chơi hệ điều hành (windows lập trình,Có,sống thoáng,8,7
7539,7539,Nữ,Thai Binh,thích ở một mình. vui vẻ... tôi là một người hoạt bát,cũm được nước trà,kinh quẻ,không,năng động giống mình,8,7
7540,7540,Nữ,Binh Phuoc,ồn ào,các món ăn truyền thống hoặc món ăn đường phố việt nam các loại thức ăn nhanh trà fanta vị nho : d trà đá,thích hát vệ sinh máy tính thích nghe nhạc,không,học giỏi tích cực với cuộc sống người có tính cách vui vẻ,8,7
7541,7541,Nam,Kon Tum,thích đi dây đó,espresso cá tra nhúng giấm cá mì trộn hơi kén ăn 1 chút,xe cộ lướt mxh coi phim anime ….,không,ham học không quậy phá hòa đồng,9,10
7542,7542,Nữ,Ninh Thuan,hiểu biết.,nhật mỳ hoành thánh,...) choi game sở thích của mình là thay vì thoát khỏi áp lực chăn nuôi thích bơi,không,hiền có cùng sở thích là một điểm cộng đừng quá bừa bộn vui vẻ hoà đồng nhưng tôn trọng không gian cá nhân của nhau,8,8
7543,7543,Nam,Hoa Binh,thích tham gia các hoạt động xã hội cọc cằn mình là một người khá rụt rè khi ở một mình.,phở… trừ những món liên quan tới cá ; các dòng nước ngọt đều thích đồ cay hàn quốc thì cái gì mình cũng ghiền nhưng điều kiện là phải nấu ngon đi ăn với bạn,ngắm bầu trời,không,không quậy phá,9,3
7544,7544,Nam,Binh Phuoc,"hướng ngoại thân thiện vui vẻ nghiêm túc hướng nội mình là ambivert
có tính cách khá là khùng khùng điên điên nhưng cũng hay nhiều tâm sự khác trầm",xôi mặn cũng không biết nữa 😂 các loại bún bún cá,.. tiêu tiền. đá banh đọc tiểu thuyết xem youtube ngủ nghỉ ngơi,không,vui vẻ hòa đồng sạch sẽ không bừa bộn biết cách giúp đỡ trong những hoàn cảnh éo le( không nhất thiết cùng quê ) rõ ràng có ý thức,8,8
7545,7545,Nam,Nam Dinh ,thích đi dây đó thích tụ tập bạn bè thân thiết ở nhà là một người hướng ngoại nói nhiều nghiêng về hướng ngoại,thịt bò chiên cơm đậu hũ dồn thịt xốt cà trà sữa gà phô mai,thể hình thư giãn của tự nhiên; thích làm những việc mình muốn (cái này hơi kì nhưng mà đúng),không,hướng ngoại,9,10
7546,7546,Nữ,Lao Cai,thích một mình nhưng ít nói,lẩu chay olong eatclean,xem mv ca nhạc o buổi tối đánh cầu lông thường hay quan tâm những tin tức về nó làm mô hình,không,ăn mặc ổn đừng nói quá nhiều không quậy phá,7,9
7547,7547,Nam,Quang Ngai,vui tính,các loại bạn cơm chiên  bánh kẹp thịt bò với sữa,chơi vape mua sắm bơi học hỏi,Có,dễ gần có kỷ luật,6,10
7548,7548,Nữ,Bac Lieu,ồn ào hướng nọpi đôi khi hướng ngoại thích một mình nhưng lại sợ cô đơn thích vui vẻ,mình thích trà bí đao ngô gia bim bim ... các loại thịt nướng thích ăn những món ăn không quá đậm vị,ca hát lưới fb học nhóm online,không,ngăn nắp sinh hoạt cú đêm giống mình hihi vui tính hài hước,10,8
7549,7549,Nam,Vung Tau,extrovert lúc này lúc kia ít nói chuyện chia sẽ,ăn đồ ăn nhanh các loại bạn buger mì trộn,nghe nhạc mọi lúc mọi nơi ; đọc tiểu thuyết ; thiết kế hình ảnh logo banner poster,không,không care lắm,9,10
7550,7550,Nam,Gia Lai,mình là một người thích vẽ năng động,lẩy thái,ngoại ngữ,không,xinh đẹp không thích chung phòng tiền bạc rõ ràng tôn trọng ý kiến của nhau,8,8
7551,7551,Nam,Lao Cai,cực đoan thích đi đâu đó nói nhiều thích đám đông,khoai lang lắc em thích các loại bún ạ lẩu kim chi cơm chiên cơm tấm sườn bì chả,đi chơi xem phim truyện viết lách chạy xe,không,người kiên định không ba phải hùa theo đám đồng để ý tiểu tiết (theo hướng tích cực) tốt bụng,7,10
7552,7552,Nam,Binh Thuan,hướng ngoại full time hướng trung đôi lúc hướng nội vui vẻ ích nói là một người 2 hướng,đùi gà,cờ tướng,không,tôn trọng riêng tư hoạt bát vui tính sạch! gọn gàng!!!! vui tính náo nhiệt thích đi chơi ít nói,10,9
7553,7553,Nữ,Dong Thap,thích đi chơi cùng những người bạn thân thiết là người hướng nội,mứt; các loại món nước như hủ tiếu,đi ăn đọc truyện học ngoại ngữ đọc truyện viết code du lịch,không,vui vẻ nhiệt tình không ồn ào siêng,10,8
7554,7554,Nữ,Bac Ninh,hướng trung (ambivert) lúc thích một mình thích đám đông mình khá dễ hòa đồng nhưng tùy đối tượng thẳng tính,đồ ăn: các món nước (bún nước c2 chanh sữa của các hạt đậu,…. nhiếp ảnh nghệ thuật cafe công nghệ,Có,hoà đồng nhưng cần không gian riêng không làm phiền người khác như buổi tối tử tế lanh lợi thật thà hoà đồng hoạt bát sạch sẽ,7,8
7555,7555,Nam,Nam Dinh ,.... thích nơi đông người 1 tháng chắc 1-2 lần) để giao lưu không thích ồn ào người hướng ngoại,mì các loại,thích xem tivi edit,không,đơn giản trật tự mong muốn có một người thích đánh cờ,8,5
7556,7556,Nữ,Vung Tau,e là một người khá tự ti dễ thích nghi trầm tính. thích sạch sẽ,bún chả thích đồ chiên thích bánh sandwich nướng đồ ăn nhanh,o buổi chiều kpop phụ kiện công nghệ đi dạo ngắm cây,không,sạch sẽ.,8,10
7557,7557,Nữ,Binh Phuoc,ít nói đúng ik chang mô tả mẫu :))) thích vui,bị dị ứng hải sản có vỏ mình ăn uống healthy nền chỉ uống nước ép trái cây,trống,không,tính giống mình người vui tính hòa 1 người tốt bụng,5,7
7558,7558,Nữ,Khanh Hoa,sống cống hiến hướng lung tung,cũng không biết nữa 😂 món nào mình thấy hợp thì đều thích ăn mình thích ăn các loại đồ ngọt,đồ ăn ngọt các hoạt động xã hội,không,giao tiếp khéo léo không quá thô thiển,7,10
7559,7559,Nam,Hoa Binh,thường thích ở một mình,fast food,esport bóng rổ trồng cây,không,tích cực người có tính cách vui vẻ mong muốn được ở cùng với người có sở thích khoa học với mình,10,10
7560,7560,Nam,Bac Lieu,hướng nội nữa mùa,snack cơm đậu hũ dồn thịt xốt cà các loại bún,"bói tử vi nhảy thích:
1. thiên nhiên cây cỏ
2. bóng bàn mình còn có thể chơi cầu lông nữa",không,quan tâm bạn bè,8,7
7561,7561,Nam,Ha Tinh,hướng ngoại khi cần thiết hướng nội thích ở 1 mình nói khi cần thiết thẳng tính,đốc cơ thanh . uống caffee trà chanh đồ chiên,mình thích ngôn ngữ,không,giàu có tử tế hoạt bát… là người vui tính ngành gì cũng được (khác ngành thì dễ nhờ hơn :>),10,9
7562,7562,Nữ,Kien Giang,khá vui vẻ ở một mình là 1 người ít nói hướng nội,đặt biệt là trà sữa cơm tấm revive,thần số học thich chơi thể thao võ,không,đàng hoàng là được ko so đo,7,10
7563,7563,Nữ,Bac Lieu,có trách nhiệm hướng nội nhưng thích đi chơi đam mê học tập hướng nội thích ở một mình ít nói,thích ăn đồ việt nam  ăn đồ ăn nhanh bún nước lèo cơm cháy kho quẹt,đi phượt shopping tháo ăn đọc tiểu thuyết,không,chia sẽ người ngay thẳng có ý thức giữ vệ sinh chung,8,10
7564,7564,Nam,Thanh Hoa,cũng hơi hướng ngoại hướng nội 35% cực đoan cọc cằn chỉ thích ngủ một mình,dừa dầm........ bánh cam,mình còn có thể chơi cầu lông nữa cũng không biết thích gì,không,dễ chung sống có thể nói nhiều một chút cùng chuyên ngành/ sở thích thích gọn gàng vd : vui vẻ,7,5
7565,7565,Nữ,Binh Phuoc,ít nói chuyện hướng nội part time cởi mở không thích giao tiếp với người lạ,cà phê uống rượu canh kim chi sâm bổ lượng,coi anime lưới fb vệ sinh máy tính đi dạo,không,có thể hoạt bát nhưng im lặng lúc cả phòng đang làm việc ít nói thân thiện học chung ngành,8,6
7566,7566,Nam,Thanh Hoa,thích đi chơi cùng những người bạn thân thiết,bánh căn,video game cafe học ngoại ngứ chụp ảnh ko thích gì hết,không,đồ mình sở hữu là được vì mình cũng như vậy. người ít nói cẩn thận hòa đồng thích bạn cùng phòng dễ thương,9,8
7567,7567,Nữ,Ha Tinh,là một người thiếu ngủ hướng ngoại partime mình khá ít nói cũng như là hướng nội hoà đồng với mọi người,kẹo thịt kho tàu thịt kho mắm ruốc bim bim,thần số học android đạp xe nghe nhạc mọi lúc mọi nơi ; đọc tiểu thuyết ; thiết kế hình ảnh logo banner poster,không,không nhiều chuyện có chí cầu tiến,8,9
7568,7568,Nam,Phu Tho,người suy nghĩ nhiều dễ ngại,cơm bò xào hũ tiếu,o buổi tối tham gia hoạt động ngoại khoá coi phim đi chơi ngoài trời,không,hòa đồng dễ chịu có kỷ luật,8,10
7569,7569,Nữ,Ha Giang,bán hướng nội ambivert ambivert cầu toàn,ăn đồ ngon cơm gà đồ ăn chay,các chương trình giải trí,không,sẻ chia,8,10
7570,7570,Nữ,Tien Giang,là người ít nói chuyện thích ở một mình với gia đình,bánh trán trộn đùi gà đồ ăn nhanh sprite,lịch sử thế giới mình còn có thể chơi cầu lông nữa học tiếng anh,không,có cùng sở thích là một điểm cộng áp đặt sở thích ai đó chịu chơi ngu với t bất kỳ ngành nào cũng được,10,8
7571,7571,Nữ,Cao Bang,thích vui,nước trà uống trà sữa cái gì cũng thích ăn espresso mùi hương (hành tỏi tiêu ớt sả đầy đủ),tụ tập với bạn bè vẽ... nằm dài nghe nhạc thích học ngôn ngữ anh,không,tinh ý,9,9
7572,7572,Nam,Khanh Hoa,thích ở một mình.,thịt xào nấm mèo gà jollibee mì cay trà sữa bún đậu,esports phim,Có,có cùng sở thích là một điểm cộng biết giữ gìn hoà khí chung đừng ham chơi 🤡 vì mình sẽ chơi cùng học giỏi (chung ngành càng tốt) sạch sẽ.,8,5
7573,7573,Nữ,Quang Ngai,khó bắt chuyện với người lạ ít nói nhiều,gà rán hay đồ chiên,choi game thích khám phá xung quanh,không,dễ tính... người ít nói,9,10
7574,7574,Nữ,Vinh Long,hướng nội thích không gian yên tĩnh thích đi chơi đây đó nhưng cũng hơi trầm tính khi ở với người lạ nghiêm túc,thịt bò thích hamburger sushi phô mai kéo sợi xúc xích đồ hàn bò kho,nghệ thuật badminton,không,thích các hoạt động nhóm,5,8
7575,7575,Nữ,Thanh Hoa,tôi là một người ít nói,ít đường,nhiếp ảnh tỉ tê những câu chuyện đời thường sâu sắc với mọi người xung quanh.,không,thống minh nề nếp biết làm việc nhà không câu nệ tiểu tiết sống thoáng,8,9
7576,7576,Nữ,Thanh Hoa,không lười thì đi có hứng thì xác xe mình là người,những món ăn liên quan đến kim chi thích ăn đồ ăn của mẹ với cậu nấu. thích nhất là canh khổ qua ăn haidilao kfc,phim truyền hình đi cắm trại,không,sạch sẽ gọn gàng,7,8
7577,7577,Nam,Hoa Binh,làm quen nhiều bạn mới thích đi lang thang một mình lúc nói nhiều lúc nói ít,rau má mix,đi chơi ngoài trời bị người ta lùa gà đi chơi xem phim nghe nhạc chính trị,không,đừng ham chơi 🤡 vì mình sẽ chơi cùng thẳng thắn,10,9
7578,7578,Nam,Vinh Phuc,hướng ngoại ít nói thích ở một mình ngăn nắp dù hay bày bừa (xong rồi dọn ngay) thích đám đông quyết đoán,trà đào… cheese fries thích ăn vặt sandwich bún riêu,xem tv series các chương trình giải trí,không,một người hiểu biết rộng chùi dọn phòng người trung thực cùng ngành học rõ ràng,10,10
7579,7579,Nữ,Ha Giang,không phải hướng nội nhưng không thích chỗ đông người hướng nội trầm tính nhát bắt chuyện với người lạ,cà phê sữa... mỳ quảng bánh mì kẹp các loại tất cả các loại mì ăn cơm gia đình tự nấu,hóng drama bóng chuyền,không,biết điều hoặc cùng trường có tổ chức,7,8
7580,7580,Nam,Vung Tau,cá tính mạnh,lẩu thái bánh bông lan dâu come gà,đọc truyện viết code pokemon ăn chơi nhảy dây,không,hiền lành đừng ở dơ giữ vệ sinh,8,7
7581,7581,Nữ,Kien Giang,đôi lúc hướng ngoại đôi lúc hướng nội hướng nội part time hướng ngoại. hướng ngoại part time bình thường thích giao lưu với mọi nguời,trà cơm đậu hũ dồn thịt xốt cà các loại bánh ngọt sữa của các hạt đậu,học ngoại ngứ sở thích của mình là thay vì thoát khỏi áp lực thiên văn học đọc truyện viết code,không,không thích chung phòng,7,10
7582,7582,Nữ,Khanh Hoa,trung lập hay giận vu vơ là người hướng lung tung sống cống hiến,thích ăn gà cá hồi,nhảy dark fantasy manga bóng rổ thích đồ ăn nhạt,không,chăm chỉ,7,10
7583,7583,Nữ,Ca Mau,không thích nói nhiều lúc hướng ngoại,hải sản nước,tấu hài thích nhảy,không,biết tôn trọng không gian riêng,10,6
7584,7584,Nữ,Thanh Hoa,"mình là ambivert
có tính cách khá là khùng khùng điên điên nhưng cũng hay nhiều tâm sự",em thích các loại bún ạ trà sữaaaaa mì cay,đông y yoga mình còn có thể chơi cầu lông nữa,không,biết nhậu tinh tế có thể là người hoạt bát giống mình hoặc ít nói nhưng biết lắng nghe.,10,8
7585,7585,Nữ,Son La,mình không hẳn ít nói nhưng cũng ngại nói chuyện với người khác vui vẻ hoà đồng hướng nội ít nói,bánh cam thích ăn món mì cay đồ chiên,thích động vật toán cà phê,không,hay ham chơi chịu đi chơi với tôi,8,10
7586,7586,Nữ,Phu Tho,cần cù,củ cơm nhà,…,không,sẻ chia miễn bạn cùng phòng biết nói chuyện là được :),7,9
7587,7587,Nam,Quang Tri,không thích giao tiếp với người lạ người hay thay đổi là người 50% hướng nội hướnh ngoại thích một mình nhưng lại sợ cô đơn,drink: (ưu tiên) nước lọc cháo gà bánh kẹp thịt,thích hút thuốc viết lách,không,cùng chuyên ngành/ sở thích,10,7
7588,7588,Nữ,Hoa Binh,thích đi đây đi đó trải nghiệm những thứ mới mẻ nhưng tùy hứng thích giao lưu với mọi nguời thích ngoại giao thích ở một đám bình thường 🤤,các loại thức ăn nhanh ăn hải sản ăn đồ tự nấu nước ngọt socola,kpop bóng bàn đọc sách tâm lí học,không,thích ăn biết chia sẻ khi ở chung với nhau trúa hề,8,7
7589,7589,Nữ,Tra Vinh,người hướng nội,hủ tiếu nam vang đậu hũ cà chua.,nhiếp ảnh stress thì mình đâm đầu vô luôn chơi hame chơi cờ vua,không,người vui vẻ học giỏi 1 chút (nhưng không tự cao ko so đo ..,8,8
7590,7590,Nam,Lao Cai,lúc này lúc kia một người nửa hướng nội thích ờ chỗ không đông người hướng ngoại với người quen đúng ik chang mô tả mẫu :))),trà đào… ăn cơm cơm trộn espresso,chơi thể thao mình thích hát ngôn ngữ thích nhảy đi phượt,không,mong muốn có một người bạn có cùng sở thích khám phá giống mình  ồn ào đúng lúc đúng chỗ,10,8
7591,7591,Nữ,Ca Mau,nghiêm túc hướng nội thích ở một mình hướng nội tích cực,"thích bánh sandwich nướng ăn đồ cay mình thích ăn đồ ngon=))))
ăn chay hay ăn mặn gì cũng đc nước ép trà đào thạch sữa",thích đi chơi với bạn bè thư giãn đọc tiểu thuyết thích tiếng anh viết lách,không,hoà đồng với mọi người vui tính dễ gần bình thường nếu cùng ngành thì tốt,8,7
7592,7592,Nam,Binh Thuan,thích tham gia các hoạt động xã hội,pepsi nước ép không uống nước ngọt có ga thích ăn đồ ăn của mẹ với cậu nấu. thích nhất là canh khổ qua,thích chơi game đọc truyện kinh quẻ,không,vui vẻ người vui vẻ nhường nhịn biết như thế nào là bất lịch sự chùi dọn phòng có tính tự giác,7,8
7593,7593,Nam,Vinh Phuc,là một người hướng ngoại nói nhiều có lúc hướng nội,thích trà sữa… chỉ cần không cay là được cá viên chiên mắm tỏi bột sò,chơi hame dọn dẹp mình thích đọc tiểu thuyết và truyện tranh phim truyền hình,không,có ý thức giữ vệ sinh chung,7,7
7594,7594,Nam,Bac Lieu,hướng nội part time cực đoan không thích giao tiếp với người lạ thích ở một mình- lúc thích nói chuyện nhiều người tính cách thất thường,trà chanh trân châu bánh nước c2 chanh cà phê sữa...,đá banh game,không,ở sạch sẽ cẩn thận hiểu lễ phép ham học,8,8
7595,7595,Nam,Binh Duong,cọc cằn khá hướng nội. thích sạch sẽ hướng ngoại part-time là người 50% hướng nội thích không gian riêng,mùi hương (hành tỏi tiêu ớt sả đầy đủ),kinh quẻ thể thao chơi bóng rổ,không,tĩnh lặng ngăn nắp,6,8
7596,7596,Nữ,Long An,hướng nội với người ngoài người thân cần nhiều riêng tư thích coi phim,mỳ xào thích hamburger chè bưởi nước trà tôm,o buổi tối …. kinh quẻ,không,dễ dãi freedom để cùng nhau nói chuyện cầu tiến là người vui tính,3,8
7597,7597,Nam,Tra Vinh,hoà đồng,0 độ chất béo hay phô mai. không ăn được cua :3 nước suối trà nóng,giải đố,không,có thể là người hoạt bát giống mình hoặc ít nói nhưng biết lắng nghe.,7,8
7598,7598,Nữ,Lam Dong,kiểu người mình khá dễ hòa đồng nhưng tùy đối tượng là một người hướng nội nói nhiều hướng ngoại thích đi đây đó người hướng ngoại,cũm được sinh tố bơ mì udon thích đồ tự nấu trà sữa double trân châu,kpop học nhóm online xem anime nghiên cứu về tài chính phim hoạt hình,không,v.v quan tâm yên tĩnh tâm lý,8,10
7599,7599,Nữ,Ca Mau,là một người hướng nội,đồ gì có vị cay 7up ăn đồ ăn nhanh cà phê sữa,bơi lội. vẽ... đi chơi ngoài trời kiếm tiền,không,mong muốn được ở cùng với người có sở thích khoa học với mình tính khôn lỏi không thích chung phòng,9,8
7600,7600,Nữ,Binh Thuan,nhưng hướng nội với người lạ đôi lúc hướng ngoại đôi lúc hướng nội bình thường,bánh bột lọc phở mùi hương (hành tỏi tiêu ớt sả đầy đủ),linux,không,giữ vệ sinh vui hoà dồng không nhiều chuyện,8,8
7601,7601,Nam,Bac Lieu,mình là một người thích vẽ năng động,bánh kẹp thịt bò với sữa red bull bột sò chất béo hay phô mai. không ăn được cua :3,đọc sách chơi đàn thích môn toán xe cộ trò chơi điện tử,không,nói nhiều vui vẻ sạch gọn năng động giống mình im lặng,8,8
7602,7602,Nam,Quang Nam,e là một người khá tự ti cọc cằn,ham bơ gơ bia,chơi đàn piano đu otp,không,toi khong có roommate có kỷ luật thích 1 mình biết cách giúp đỡ trong những hoàn cảnh éo le( không nhất thiết cùng quê ) giữ vệ sinh nhà cửa sạch sẽ,5,9
7603,7603,Nữ,Quang Ngai,một người ít nói hướng nội 50% hướng ngoài vui vẻ thích ở một mình với gia đình,nước ngọt có ga ăn sushi red bull bánh xèo,tiếng anh,không,tiền bạc rạch ròi hoà đồng sạch sẽ gọn gàng suy đoán vui vẻ hòa đồng chung ngành học,8,5
